KEY,EN,ES
label_blink,*The chosen image will replace the VTuber's eyes for a few seconds; blinking. If none is selected then there will be not blinking,*La imagen elegida reemplazará los ojos del VTuber durante unos segundos a modo de parpadeo. Se debe seleccionar una imagen. Si no se selecciona ninguna entonces no habrá parpadeo.

button_mouth,Vtuber's mouth,Boca del VTuber
title_mouth,Use an Image (for mouth),Usar una imágen (para la boca)
label_mouth,The chosen image will be used as the VTuber's mouth. It will be the fourth image to be drawn. An image must be selected.,La imagen seleccionada se usará como los ojos del VTuber. Será la cuarta imagen en dibujarse. Se debe seleccionar una imagen.
title_talk,Use an Image (for talking),Usar una imágen (para hablar)
checkbox_microphone_detection,Detect microphone,Detectar micrófono
tooltip_microphone_detection,Use or not use the microphone to talk,Usar o no el micrófono para hablar
label_talk,*The chosen image will replace the VTuber's mouth when the microphone sound exceeds a threshold; talking. If none is selected then there will be no talking,*La imagen elegida reemplazará la boca del VTuber cuando el sonido del micrófono supere un umbral para que parezca que habla. Si no se selecciona ninguna entonces no se hablará.

button_table,"Table","Mesa"
title_table_image,Use an Image (for table),Usar una imágen (para la mesa)
checkbox_table,Draw a "table",Dibujar una "mesa"
tooltip_ctable,Draw or not draw a "table",Dibujar o no una "mesa"
tooltip_btable,Select a "table" image,Selecciona una imagen de una "mesa"
label_table_image,*The chosen image will be used as the VTuber's "table" (or what you want to be painted before the hands). It will be the fifth image to be drawn. If none is selected then there will be not a "table".,*La imagen seleccionada se usará como la "mesa" del VTuber (o lo que sea que quieras que se dibuje antes que las manos). Será la quinta imagen en dibujarse. Si no se selecciona ninguna entonces no habrá una "mesa".

button_keyboard,Vtuber's hand & Keyboard,Mano del VTuber & Teclado
title_keyboard_off,Use an Image (for hand),Usar una imágen (para la mano)
tooltip_bhandoff,Select a hand & keyboard image,Selecciona una imagen de una mano & teclado
label_handoff,*The chosen image will be used as a VTuber's hand & keyboard. It will be the sixth image to be drawn. An image must be selected.,*La imagen seleccionada se usará como una mano y teclado del VTuber. Será la sexta imagen en dibujarse. Se debe seleccionar una imagen.
title_keyboard_on,Use an Image (for typing),Usar una imágen (para teclear)
checkbox_keyboard_detection,Detect keyboard,Detectar teclado
tooltip_keyboard_detection,Use or not use the keboard to key in,Usar o no el teclado para teclear
tooltip_bhandon,Select a hand on keyboard image,Selecciona una imagen de una mano sobre el teclado
label_handon,*The chosen image will replace the VTuber's hand when the keyboard is pressed. If none is selected then no key in will occur,*La imagen elegida reemplazará la mano del VTuber cuando se presionen teclas. Si no se selecciona ninguna entonces no se tecleará.

button_mouse,Vtuber's hand & Mouse,Mano del VTuber & Ratón
title_mouse,Use an Image (for mouse),Usar una imágen (para el mouse)

tooltip_resize,Change the VTuber canvas size,Cambiar el tamaño del lienzo del VTuber

label_seconds,/sec.,/seg.

label_img,Select image,Seleccionar imagen
type_img,Images only,Solo imágenes
type_jpg,JPEG image,Imagen JPEG
type_png,PNG image,Imagen PNG
type_tif,TIFF image,Imagen TIFF
type_gif,Animated GIF,GIF animado
type_svs,VTuber Model,Modelo VTuber
